"","Date","Total_Index","Journal_Index","Blue_Index"
"1",1889-10-01,NA,NA,NA
"2",1889-11-01,100,100,NA
"3",1889-12-01,117.373209840572,117.373209840572,100
"4",1890-01-01,112.370530065603,111.448655071052,96.5297197972852
"5",1890-02-01,107.359513846917,105.524100301532,93.0594395945703
"6",1890-03-01,102.338936612337,99.5995455320115,89.5891593918555
"7",1890-04-01,97.3073184694622,93.6749907624915,86.1188791891407
"8",1890-05-01,99.8843508648284,102.846715219797,82.6485989864259
"9",1890-06-01,97.6767663540243,102.661425341068,79.178318783711
"10",1890-07-01,95.4260303106706,102.476135462339,75.7080385809962
"11",1890-08-01,93.129014136902,102.290845583609,72.2377583782814
"12",1890-09-01,90.7822048925528,102.10555570488,68.7674781755666
"13",1890-10-01,88.5693497748457,102.353662112055,65.2971979728517
"14",1890-11-01,86.2880614579928,102.60176851923,61.8269177701369
"15",1890-12-01,83.9327600944446,102.849874926405,58.3566375674221
"16",1891-01-01,83.6257003827074,103.097981333581,57.7910244014346
"17",1891-02-01,83.3155320873095,103.346087740756,57.2254112354471
"18",1891-03-01,83.0022203591628,103.594194147931,56.6597980694595
"19",1891-04-01,82.6857294651073,103.842300555106,56.094184903472
"20",1891-05-01,82.3660227573797,104.090406962281,55.5285717374845
"21",1891-06-01,82.0430626416875,104.338513369456,54.962958571497
"22",1891-07-01,81.7168105438097,104.586619776631,54.3973454055095
"23",1891-08-01,81.387226874641,104.834726183806,53.831732239522
"24",1891-09-01,81.0542709935885,105.082832590981,53.2661190735345
"25",1891-10-01,80.7179011702252,105.330938998156,52.700505907547
"26",1891-11-01,80.3780745440993,105.579045405331,52.1348927415594
"27",1891-12-01,80.0347470825873,105.827151812507,51.5692795755719
"28",1892-01-01,81.0190097016487,106.075258219682,52.7218670714247
"29",1892-02-01,81.9955511997674,106.323364626857,53.8744545672774
"30",1892-03-01,82.9646442234717,106.571471034032,55.0270420631301
"31",1892-04-01,83.9265467939464,106.819577441207,56.1796295589829
"32",1892-05-01,84.8815033646402,107.067683848382,57.3322170548356
"33",1892-06-01,85.8297457830447,107.315790255557,58.4848045506883
"34",1892-07-01,86.7714941670272,107.563896662732,59.6373920465411
"35",1892-08-01,87.7069577047938,107.812003069907,60.7899795423938
"36",1892-09-01,88.6363353864444,108.060109477082,61.9425670382465
"37",1892-10-01,89.5598166741185,108.308215884257,63.0951545340993
"38",1892-11-01,90.4775821169028,108.556322291432,64.247742029952
"39",1892-12-01,91.3898039159498,108.804428698608,65.4003295258048
"40",1893-01-01,89.2797959858067,109.052535105783,62.2732642043334
"41",1893-02-01,87.1082453876518,109.300641512958,59.1461988828621
"42",1893-03-01,84.8704282394053,109.548747920133,56.0191335613908
"43",1893-04-01,82.5609562465292,109.796854327308,52.8920682399195
"44",1893-05-01,80.1736374060648,110.044960734483,49.7650029184482
"45",1893-06-01,77.7012966769126,110.293067141658,46.6379375969769
"46",1893-07-01,75.1355415725781,110.541173548833,43.5108722755055
"47",1893-08-01,72.4664504533802,110.789279956008,40.3838069540342
"48",1893-09-01,69.6821498448232,111.037386363183,37.2567416325629
"49",1893-10-01,66.7682282560887,111.285492770358,34.1296763110916
"50",1893-11-01,63.7069017744115,111.533599177533,31.0026109896203
"51",1893-12-01,60.475789326874,111.781705584709,27.875545668149
"52",1894-01-01,65.4477287748268,112.029811991884,32.5751610171794
"53",1894-02-01,70.0872774695681,112.277918399059,37.2747763662098
"54",1894-03-01,74.4565972808808,112.526024806234,41.9743917152402
"55",1894-04-01,78.6007662076929,112.774131213409,46.6740070642706
"56",1894-05-01,82.5536987206728,113.022237620584,51.373622413301
"57",1894-06-01,86.3416646279705,113.270344027759,56.0732377623315
"58",1894-07-01,89.9854992942327,113.518450434934,60.7728531113619
"59",1894-08-01,93.5020548970655,113.766556842109,65.4724684603923
"60",1894-09-01,96.9051887720852,114.014663249284,70.1720838094227
"61",1894-10-01,100.20645740755,114.262769656459,74.8716991584531
"62",1894-11-01,103.415616594531,114.510876063635,79.5713145074835
"63",1894-12-01,106.540990042898,114.75898247081,84.270929856514
"64",1895-01-01,105.108991011655,115.007088877985,81.8438672394159
"65",1895-02-01,103.650392433617,115.25519528516,79.4168046223178
"66",1895-03-01,102.1640550281,115.503301692335,76.9897420052197
"67",1895-04-01,100.64874989742,115.75140809951,74.5626793881216
"68",1895-05-01,99.1031482851554,115.999514506685,72.1356167710235
"69",1895-06-01,97.5258097742987,116.24762091386,69.7085541539255
"70",1895-07-01,95.9151686242747,116.495727321035,67.2814915368274
"71",1895-08-01,94.2695178745525,116.74383372821,64.8544289197293
"72",1895-09-01,92.5869907512133,116.991940135385,62.4273663026312
"73",1895-10-01,90.8655387945127,117.24004654256,60.0003036855331
"74",1895-11-01,89.1029059708834,117.488152949736,57.573241068435
"75",1895-12-01,87.2965978287942,117.736259356911,55.146178451337
"76",1896-01-01,86.8772366186995,117.984365764086,54.5027672520478
"77",1896-02-01,86.4536740479314,118.232472171261,53.8593560527587
"78",1896-03-01,86.0258480582181,118.480578578436,53.2159448534696
"79",1896-04-01,85.5936947195906,118.728684985611,52.5725336541805
"80",1896-05-01,85.1571481511125,118.976791392786,51.9291224548914
"81",1896-06-01,84.7161404372022,119.224897799961,51.2857112556022
"82",1896-07-01,84.2706015392449,119.473004207136,50.6423000563131
"83",1896-08-01,83.820459202165,119.721110614311,49.998888857024
"84",1896-09-01,83.3656388556019,119.969217021486,49.3554776577349
"85",1896-10-01,82.9060635093034,120.217323428661,48.7120664584458
